,var,mean,scale
0,vac_com,0.10048064186504183,0.30063978857668033
1,densité_dep_pop,3181.96868258714,6207.493123900162
2,tpc,0.000908299587480604,0.0301243187365289
3,pieton_acc,0.15249971615637892,0.35950459347357827
4,nb_usagers_acc,2.2285319607917344,1.1738440127602
5,util_secu,0.7178215948226924,0.45005972140250333
6,presence_ado,0.1377209249517466,0.34460683652850244
7,presence_pers_agee,0.1263104113840215,0.33219887320703056
8,nb_vehicules,1.7150020815198879,0.6752338690530993
9,obs,0.19032660939333157,0.40908242054741073
10,catv_carrosserie,1.2226847821973281,0.8130451263815964
11,catv_moteur,1.6243045831283351,0.7156183244026842
12,risk_velo_edp,0.11016917079816826,0.32554499841691253
13,risk_inf_125cc,0.16890587745524732,0.3884069683830252
14,risk_sup_125cc,0.16905726071982743,0.38589703331079955
15,catv_transport_Collectif,0.01523294099837263,0.123860852783347
16,catv_transport_Indiv.2-3 roues,0.4701018052454301,0.548317517082887
17,catv_transport_Indiv.4 roues,1.1515724936608258,0.8020135165733285
18,catv_transport_Personnel,0.022215494077129774,0.14764029779273966
19,catv_transport_Routier,0.05587934753812966,0.24668978639554168
20,choc_impact_Arriere,0.1732203004957802,0.4760537855910478
21,choc_impact_Frontal,0.6177194111191008,0.6211459917759645
22,choc_impact_Lateral,0.9003141202740037,0.7717485236161175
23,choc_impact_Multiple,0.023748249631003294,0.16236785034805676
24,catv_poids_A: 0.15T<,0.3203080649434205,0.49957680657705994
25,catv_poids_B: 0.15-1.5T,0.1720092343791394,0.3886526775264869
26,catv_poids_C: 1.5-3T,1.1515724936608258,0.8020135165733285
27,catv_poids_D: 3-7.5T,0.03652121257994929,0.19538995134626658
28,catv_poids_E: >7.5T,0.034591075956553,0.19360238005867514
29,lum_jour,0.6522726412595088,0.47624892936767105
30,lum_nuit,0.34772735874049127,0.47624892936767105
31,agg_in,0.6359800174090754,0.4811542734564741
32,agg_out,0.36401998259092455,0.48115427345647416
33,int_3_branches_ou_+,0.25411573250577146,0.4353629830369443
34,int_giratoire-place,0.048442644665632216,0.21469968524297256
35,int_out,0.6554327669076183,0.4752269510154511
36,int_pass_à_niv-autre,0.04200885592097794,0.20060935158957188
37,atm_contrast_lum-autre,0.06221852174242137,0.24155201778211086
38,atm_normale,0.7772962948945994,0.41606101095599834
39,atm_perturb_air,0.009272224955531165,0.09584493100787954
40,atm_précipitations,0.15121295840744806,0.35825633227776366
41,col_2_véhicules,0.5343450781516104,0.49881902089511365
42,col_3_véh_+,0.07124474889300987,0.25723323006210114
43,col_aucune,0.10695227642584113,0.3090525634793725
44,col_autre,0.2874578965295387,0.45257690424098274
45,catr_RnRdVcRmurb,0.8927071112288536,0.30948525779152836
46,catr_autoroute,0.09940203610490861,0.29920105501670113
47,catr_autre,0.007890852666237748,0.08847930328860798
48,circ_1,0.18485788896037544,0.38818223793662804
49,circ_2,0.6540324717102525,0.475682664871057
50,circ_3,0.15425954660712257,0.3611973683288508
51,circ_4,0.006850092722249556,0.08248132486779138
52,nbv_0_à_4,0.9365325663247928,0.2438018017527565
53,nbv_5_à_8,0.0574499489081482,0.23270034868602874
54,nbv_9_à_12,0.006017484767059001,0.07733870081748989
55,prof_1,0.7978276501532755,0.40162008267039895
56,prof_2,0.1672028157287212,0.3731568492485546
57,prof_3,0.019168905877455247,0.13711841205657435
58,prof_4,0.015800628240548006,0.12470352195408117
59,plan_1,0.7977519585209855,0.4016762019300089
60,plan_2,0.09807743253983273,0.2974193163972832
61,plan_3,0.08980812171214472,0.28590666831447165
62,plan_4,0.01436248722703705,0.11897985622654891
63,surf_autre,0.008042235930817848,0.08931717848236648
64,surf_eau_gelée,0.00344396926919729,0.058584198764428906
65,surf_eau_liq,0.20800060553305832,0.40587726424491843
66,surf_normale,0.7805131892669266,0.41389896188236264
67,infra_aménagement,0.0650948037694433,0.24669306899801818
68,infra_aucun,0.844472618552019,0.36240669843135503
69,infra_autre,0.04128978541422246,0.19895964172331512
70,infra_infrastructure,0.04914279226431518,0.21616608946081609
71,situ_accotement,0.08575861938462703,0.2800072830943326
72,situ_aucun,0.0,1.0
73,situ_autre,0.05936116262347198,0.23629941810224944
74,situ_chaussée,0.854880217991901,0.35222156503828783
75,Num_Acc_left,201958243052.8862,49318089.48983921
76,accident_grave_right,0.15892062991299505,0.255180446256672
